edge_idx,i_start,i_end,len_mm,type,arc_votes,line_votes,turn_angle_deg_at_end
0,0,1,4.9996016236072505,line,0,0,2.488483371288522
1,1,2,4.999576271334092,line,0,0,2.589567010431244
2,2,3,4.999559164132673,line,0,0,2.649069324234921
3,3,4,4.999547788777597,line,0,0,2.700232096382741
4,4,5,4.999535589336108,line,0,0,2.7076509783916904
5,5,6,4.999532052350914,arc,1,0,2.7107867116635043
6,6,7,4.999532435335547,arc,1,0,2.6598255584359825
7,7,8,4.999545329066836,arc,1,0,2.59490794623686
8,8,9,4.9995803071918345,arc,1,0,2.5056441662824924
9,9,10,4.999611977877717,arc,1,0,2.3881172940000863
10,10,11,4.999650898800995,arc,1,0,2.240977648858321
11,11,12,4.999683879562398,arc,1,0,2.101262757905383
12,12,13,4.999731727157084,arc,1,0,1.9171585715154875
13,13,14,4.999774887204654,line,0,1,1.7644043754055356
14,14,15,4.999819479359741,line,0,1,1.6987351139026248
15,15,16,4.999787692801935,line,0,1,1.8704077219580508
16,16,17,4.999737706959525,line,0,1,2.01746409218423
17,17,18,4.999696127719921,arc,1,0,2.174865301226667
18,18,19,4.999680756186239,arc,1,0,2.2612925687909717
19,19,20,4.999660773824137,arc,1,0,2.3261358766838787
20,20,21,4.9996455449734984,arc,1,0,2.323368591752589
21,21,22,4.999650190843921,arc,1,0,2.330622885904089
22,22,23,4.999662718301039,arc,1,0,2.3012309033107994
23,23,24,4.999623346449232,arc,1,0,2.517474177036614
24,24,25,4.999533426405839,arc,1,0,2.8091881543830155
25,25,26,4.999415214251974,arc,1,0,3.2364530204008815
26,26,27,4.9992548617467225,arc,1,0,3.728405262947821
27,27,28,4.998950073465115,arc,1,0,4.358340933738604
28,28,29,4.998547071642376,arc,1,0,5.145399532005457
29,29,30,4.997987533644366,arc,1,0,6.076697042483189
30,30,31,4.9972789380698055,arc,1,0,5.88274580488696
31,31,32,4.999249546290677,arc,1,0,0.6995063247956093
32,32,33,4.999984357853232,arc,1,0,0.011231159823911716
33,33,34,4.999984408492798,arc,1,0,0.011227796401431492
34,34,35,4.999984444722947,line,0,1,9.507220963046152e-06
35,35,36,4.999984444643015,line,0,1,0.011435382597233609
36,36,37,4.999984449331693,line,0,1,0.011671552051689987
37,37,38,4.9999844087519385,line,0,1,0.00025535825976018354
38,38,39,4.999984444482395,line,0,1,4.174769800515657e-05
39,39,40,4.999984444832522,line,0,1,0.011454272154034625
40,40,41,4.999984360400614,line,0,1,0.011670383893925437
41,41,42,4.999984409773762,line,0,1,0.0002640287236308111
42,42,43,4.999984356532821,line,0,1,4.791792705195437e-05
43,43,44,4.99998435693456,line,0,1,0.011448092775577642
44,44,45,4.99998436034483,line,0,1,0.011664206955901969
45,45,46,4.999984409773931,line,0,1,0.0002702055337564961
46,46,47,4.999984356481386,line,0,1,5.409179945501589e-05
47,47,48,4.999984444832688,line,0,1,0.011441925604343992
48,48,49,4.999984448187425,line,0,1,0.011658037343211426
49,49,50,4.999984409773931,line,0,1,0.00027637089439609724
50,50,51,4.999984444328106,line,0,1,6.025609957363157e-05
51,51,52,4.999984356934574,line,0,1,0.011435756222698339
52,52,53,4.9999844481319995,line,0,1,0.01142273057749843
53,53,54,4.9999844447230855,line,0,1,0.00017574262221021654
54,54,55,4.999984409308866,line,0,1,0.00016271949159052653
55,55,56,4.999984356934567,line,0,1,0.011429586827321805
56,56,57,4.999984360178445,line,0,1,0.011401237476400332
57,57,58,4.9999844445946735,line,0,1,0.0002002222074560649
58,58,59,4.999984409388191,line,0,1,0.011582262372268965
59,59,60,4.999984360006188,line,0,1,0.01139736892647984
60,60,61,4.999984356825072,line,0,1,2.1531352099333316e-05
61,61,62,4.999984444542868,line,0,1,0.00020639437108888877
62,62,63,4.999984409388362,line,0,1,0.011576092786418047
63,63,64,4.999984447848971,line,0,1,0.011391196690164597
64,64,65,4.9999844447231,line,0,1,2.763906749706611e-05
65,65,66,4.999984356593375,line,0,1,1.4671391405204592
66,66,67,4.997915855552154,line,0,1,5.666745638803479
67,67,68,4.998885122591068,arc,1,0,3.055050069657341
68,68,69,4.99968957208658,arc,1,0,1.6769753128977642
69,69,70,4.999882563359381,arc,1,0,0.9980900481645645
70,70,71,4.999952088419799,line,0,1,0.5446514859738923
71,71,72,4.999984234188247,line,0,1,0.14480019565597563
72,72,73,4.999987906042983,line,0,1,0.35852234076061523
73,73,74,4.999960820415831,line,0,1,1.3507092318284668
74,74,75,4.999674747929281,line,0,1,4.197737075453806
75,75,76,4.997439416741299,line,0,1,6.441147281401495
76,76,77,4.998320877463533,line,0,1,5.934849942653156
77,77,78,4.849678094218562,line,0,1,76.1003124317323
78,78,79,4.905585380660152,line,0,1,5.762421899312181
79,79,80,5.000000000000286,arc,1,0,0.0
80,80,81,5.0000000000002816,arc,1,0,0.9210244894690179
81,81,82,4.993167079644784,line,0,1,70.73139194815286
82,82,83,4.578551773947882,line,0,1,18.347583562378006
83,83,84,4.999999999999943,arc,1,0,0.0
84,84,85,5.0,arc,1,0,0.00011800313162737035
85,85,86,4.999999974267015,arc,1,0,4.861160941908864
86,86,87,4.994272013291131,arc,1,0,9.564115859187154
87,87,88,4.994231177115761,arc,1,0,9.54023451489333
88,88,89,4.994161980306854,arc,1,0,9.54708606247236
89,89,90,4.994187948086499,arc,1,0,9.552188237471753
90,90,91,4.994184423555347,line,0,0,9.545840212819684
91,91,92,4.994206578581082,line,0,0,9.555462825493503
92,92,93,4.994222986294816,line,0,0,9.540540442684113
93,93,94,4.99421027760846,line,0,0,11.46196430490018
94,94,95,6.982763180846749,line,0,0,0.0
